Group;Kontainer;Awal;Akhir;Ukuran;Harga;Periode;Status;Hari;DPP;Keterangan;QTY Disc;adjustment;Pembulatan;ppn;pph;grand_total;No.InvoiceVendor;Tgl.InvVendor;No.Bank;Tgl.Bank
1;CBHU5876322;22-01-2025;21-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CBHU5876322;22-02-2025;21-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;CCLU3836629;21-03-2025;20-04-2025;20;750000;3;Bulanan;31;775000;;;-193750;;63938;11625;633563;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
4;CBHU5876322;22-04-2025;21-05-2025;20;750000;4;Bulanan;30;750000;;;0;;82500;15000;817500;304/DPE/LL/APR/2025;29 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
5;CBHU5876322;22-05-2025;05-06-2025;20;750000;5;Harian;15;375000;;;0;;41250;7500;408750;416/DPE/LL/MAY/2025;26 May 25;EBK250600272;24 Jun 25
1;CSLU1004045;23-01-2025;22-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CSLU1004045;23-02-2025;22-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;CBHU4077764;21-03-2025;20-04-2025;20;750000;3;Bulanan;31;775000;;;-193750;;63938;11625;633563;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
4;CBHU5914130;23-04-2025;22-05-2025;20;750000;4;Bulanan;30;750000;;;0;;82500;15000;817500;304/DPE/LL/APR/2025;29 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
5;CCLU3836629;21-05-2025;20-06-2025;20;750000;5;Bulanan;31;775000;;;0;;85250;15500;844750;416/DPE/LL/MAY/2025;26 May 25;EBK250600272;24 Jun 25
1;CBHU5914130;23-01-2025;22-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CBHU5914130;23-02-2025;22-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;STXU2015218;22-03-2025;21-04-2025;20;750000;3;Bulanan;31;775000;;;-193750;;63938;11625;633563;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
1;CBHU5911444;24-01-2025;23-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CBHU5911444;24-02-2025;23-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;CBHU5876322;22-03-2025;21-04-2025;20;750000;3;Bulanan;31;775000;;;-193750;;63938;11625;633563;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
1;CBHU3952697;24-01-2025;23-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CBHU3952697;24-02-2025;23-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;CBHU5914130;23-03-2025;22-04-2025;20;750000;3;Bulanan;31;775000;;;-193750;;63938;11625;633563;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
4;CBHU5911444;24-04-2025;23-05-2025;20;750000;4;Bulanan;30;750000;;;0;;82500;15000;817500;304/DPE/LL/APR/2025;29 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
5;CBHU5911444;24-05-2025;23-06-2025;20;750000;5;Bulanan;31;775000;;;0;;85250;15500;844750;416/DPE/LL/MAY/2025;26 May 25;EBK250600272;24 Jun 25
6;CBHU5911444;24-06-2025;23-07-2025;20;750000;6;Bulanan;30;750000;;;0;;82500;15000;817500;532/DPE/LL/JUN/2025;30 Jun 25;EBK250800008;01 Aug 25
7;CBHU5911444;24-07-2025;23-08-2025;20;750000;7;Bulanan;31;775000;;;0;;85250;15500;844750;623/DPE/LL/JUL/2025;29 Jul 25;EBK250900113;11 Sep 25
8;CBHU5911444;24-08-2025;29-08-2025;20;750000;8;Harian;6;150000;;;0;;16500;3000;163500;752/DPE/LL/AUG/2025;27 Aug 25;EBK250900193;17 Sep 25
1;CSLU1247770;24-01-2025;23-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CSLU1247770;24-02-2025;23-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;CBHU5911444;24-03-2025;23-04-2025;20;750000;3;Bulanan;31;775000;;;-193750;;63938;11625;633563;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
4;CSLU1247770;24-04-2025;23-05-2025;20;750000;4;Bulanan;30;750000;;;0;;82500;15000;817500;304/DPE/LL/APR/2025;29 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
5;CSLU1247770;24-05-2025;23-06-2025;20;750000;5;Harian;31;775000;;;0;;85250;15500;844750;416/DPE/LL/MAY/2025;26 May 25;EBK250600272;24 Jun 25
1;CXDU1108080;24-01-2025;23-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CXDU1108080;24-02-2025;23-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;CSLU1247770;24-03-2025;23-04-2025;20;750000;3;Bulanan;31;775000;;;-193750;;63938;11625;633563;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
9;RXTU4540180;04-03-2025;03-04-2025;40;1500000;1;Bulanan;31;1500000;;;-375000;;123750;22500;1226250;164/DPE/LL/MAR/2025;07 Mar 25;EBK250400154;21 Apr 25
10;RXTU4540180;04-04-2025;03-05-2025;40;1500000;2;Bulanan;30;1500000;;;0;;165000;30000;1635000;245/DPE/LL/APR/2025;09 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
11;RXTU4540180;04-05-2025;03-06-2025;40;1500000;3;Bulanan;31;1500000;;;0;;165000;30000;1635000;354/DPE/LL/MAY/2025;10 May 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
12;RXTU4540180;04-06-2025;03-07-2025;40;1500000;4;Bulanan;30;1500000;;;0;;165000;30000;1635000;510/DPE/LL/JUN/2025;24 Jun 25;EBK250700091;09 Jul 25
13;RXTU4540180;04-07-2025;03-08-2025;40;1500000;5;Bulanan;31;1500000;;;0;;165000;30000;1635000;602/DPE/LL/JUL/2025;23 Jul 25;EBK250800167;16 Aug 25
14;RXTU4540180;04-08-2025;03-09-2025;40;1500000;6;Bulanan;31;1550000;;;0;;170500;31000;1689500;;;;
15;RXTU4540180;04-09-2025;01-10-2025;40;1500000;7;Harian;28;1400000;Belum Dikembalikan;;0;;154000;28000;1526000;;;;
