vendor;nomor_kontainer;size;tanggal_awal;tanggal_akhir;tarif;adjustment;group;status
ZONA;MSKU4555445;40;2024-12-14;2025-01-13;1261261;0;Z06;ongoing
ZONA;TEXU5531307;40;2024-12-14;2024-12-20;1261261;42042;Z06;ongoing
ZONA;MSKU4555445;40;2025-01-14;2025-02-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2025-02-14;2025-03-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2025-03-14;2025-04-13;1261261;-294294;Z06;ongoing
ZONA;MSKU4555445;40;2025-04-14;2025-05-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2025-05-14;2025-06-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2025-06-14;2025-07-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2025-07-14;2025-08-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2025-08-14;2025-09-13;1261261;0;Z06;ongoing
ZONA;MSKU4555445;40;2025-09-14;2025-09-24;1261261;0;Z06;ongoing
ZONA;INKU6744298;40;2024-08-05;2024-09-04;1261261;0;Z01;ongoing
ZONA;INKU6744298;40;2024-09-05;2024-10-04;1261261;0;Z01;ongoing
ZONA;INKU6744298;40;2024-10-05;2024-11-04;1261261;0;Z01;ongoing
ZONA;INKU6744298;40;2024-11-05;2024-12-04;1261261;0;Z01;ongoing
ZONA;INKU6744298;40;2024-12-05;2024-12-24;1261261;0;Z01;ongoing
ZONA;MSCU7085120;40;2024-08-06;2024-09-05;1261261;0;Z02;ongoing
ZONA;TEXU7210230;40;2024-08-06;2024-09-05;1261261;0;Z02;ongoing
ZONA;XXXU9902224;40;2024-08-06;2024-09-05;1261261;0;Z02;ongoing
ZONA;MSCU7085120;40;2024-09-06;2024-10-05;1261261;0;Z02;ongoing
ZONA;TEXU7210230;40;2024-09-06;2024-10-05;1261261;0;Z02;ongoing
ZONA;XXXU9902224;40;2024-09-06;2024-10-05;1261261;0;Z02;ongoing
ZONA;MSCU7085120;40;2024-10-06;2024-11-05;1261261;0;Z02;ongoing
ZONA;TEXU7210230;40;2024-10-06;2024-11-05;1261261;0;Z02;ongoing
ZONA;XXXU9902224;40;2024-10-06;2024-11-05;1261261;0;Z02;ongoing
ZONA;MSCU7085120;40;2024-11-06;2024-12-05;1261261;0;Z02;ongoing
ZONA;TEXU7210230;40;2024-11-06;2024-12-05;1261261;0;Z02;ongoing
ZONA;XXXU9902224;40;2024-11-06;2024-12-05;1261261;0;Z02;ongoing
ZONA;MSCU7085120;40;2024-12-06;2024-12-10;1261261;0;Z02;ongoing
ZONA;TEXU7210230;40;2024-12-06;2025-01-05;1261261;0;Z02;ongoing
ZONA;XXXU9902224;40;2024-12-06;2025-01-04;1261261;0;Z02;ongoing
ZONA;TEXU7210230;40;2025-01-06;2025-02-05;1261261;0;Z02;ongoing
ZONA;TEXU7210230;40;2025-02-06;2025-03-05;1261261;0;Z02;ongoing
ZONA;TEXU7210230;40;2025-03-06;2025-04-05;1261261;-210210;Z02;ongoing
