"Awalan Kontainer";"Nomor Seri";Akhiran;Ukuran;Vendor
CRXU;143296;4;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;151203;6;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;153194;6;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;174687;8;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;176148;7;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;181672;2;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;213202;5;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;303404;4;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;306495;9;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;311208;6;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;312932;4;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;317563;3;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;317776;5;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;328509;7;20;"PT. ZONA LINTAS SAMUDERA"
CRXU;945444;5;40;"PT. ZONA LINTAS SAMUDERA"
CSLU;105994;2;20;"PT. ZONA LINTAS SAMUDERA"
CSLU;142658;6;20;"PT. ZONA LINTAS SAMUDERA"
CXDU;110764;8;20;"PT. ZONA LINTAS SAMUDERA"
CXDU;110892;1;20;"PT. ZONA LINTAS SAMUDERA"
CXDU;124442;4;20;"PT. ZONA LINTAS SAMUDERA"
CXDU;128574;2;20;"PT. ZONA LINTAS SAMUDERA"
CXDU;143670;4;20;"PT. ZONA LINTAS SAMUDERA"
DAVU;908801;4;20;"PT. ZONA LINTAS SAMUDERA"
DFSU;206156;5;20;"PT. ZONA LINTAS SAMUDERA"
DFSU;229693;4;20;"PT. ZONA LINTAS SAMUDERA"
DNAU;262220;6;20;"PT. ZONA LINTAS SAMUDERA"
DPEU;990004;4;20;"PT. ZONA LINTAS SAMUDERA"
DPEU;990019;4;20;"PT. ZONA LINTAS SAMUDERA"
DRYU;210680;1;20;"PT. ZONA LINTAS SAMUDERA"
DRYU;229098;2;20;"PT. ZONA LINTAS SAMUDERA"
DRYU;229288;2;20;"PT. ZONA LINTAS SAMUDERA"
ECMU;181964;9;20;"PT. ZONA LINTAS SAMUDERA"
EGHU;305849;9;20;"PT. ZONA LINTAS SAMUDERA"
EGHU;900518;2;40;"PT. ZONA LINTAS SAMUDERA"
EGSU;310994;3;20;"PT. ZONA LINTAS SAMUDERA"
EISU;219451;7;20;"PT. ZONA LINTAS SAMUDERA"
EISU;225461;6;20;"PT. ZONA LINTAS SAMUDERA"
EISU;394470;3;20;"PT. ZONA LINTAS SAMUDERA"
EISU;395403;9;20;"PT. ZONA LINTAS SAMUDERA"
EISU;399404;7;20;"PT. ZONA LINTAS SAMUDERA"
EISU;399921;8;20;"PT. ZONA LINTAS SAMUDERA"
EISU;915384;4;40;"PT. ZONA LINTAS SAMUDERA"
EMCU;600682;6;20;"PT. ZONA LINTAS SAMUDERA"
EMCU;600987;2;20;"PT. ZONA LINTAS SAMUDERA"
EMCU;603884;4;20;"PT. ZONA LINTAS SAMUDERA"
EMCU;604550;3;20;"PT. ZONA LINTAS SAMUDERA"
EMCU;606323;5;20;"PT. ZONA LINTAS SAMUDERA"
EMCU;966403;4;40;"PT. ZONA LINTAS SAMUDERA"
EMLU;807074;9;40;"PT. ZONA LINTAS SAMUDERA"
EMSU;987169;2;40;"PT. ZONA LINTAS SAMUDERA"
EOLU;221262;3;20;"PT. ZONA LINTAS SAMUDERA"
EOLU;329697;4;20;"PT. ZONA LINTAS SAMUDERA"
FCIU;240531;1;20;"PT. ZONA LINTAS SAMUDERA"
FCIU;246292;3;20;"PT. ZONA LINTAS SAMUDERA"
FCIU;254130;2;20;"PT. ZONA LINTAS SAMUDERA"
FCIU;261611;9;20;"PT. ZONA LINTAS SAMUDERA"
FCIU;266890;9;20;"PT. ZONA LINTAS SAMUDERA"
FCIU;332499;7;20;"PT. ZONA LINTAS SAMUDERA"
FCIU;349308;7;20;"PT. ZONA LINTAS SAMUDERA"
FCIU;929839;1;40;"PT. ZONA LINTAS SAMUDERA"
FDSU;468005;8;40;"PT. ZONA LINTAS SAMUDERA"
FORU;202477;9;20;"PT. ZONA LINTAS SAMUDERA"
FORU;841628;9;20;"PT. ZONA LINTAS SAMUDERA"
FORU;848720;9;20;"PT. ZONA LINTAS SAMUDERA"
FSCU;330821;2;20;"PT. ZONA LINTAS SAMUDERA"
FSCU;338078;9;20;"PT. ZONA LINTAS SAMUDERA"
FSCU;617169;5;40;"PT. ZONA LINTAS SAMUDERA"
FSCU;739914;4;20;"PT. ZONA LINTAS SAMUDERA"
FSCU;756877;4;20;"PT. ZONA LINTAS SAMUDERA"
FSCU;760818;3;20;"PT. ZONA LINTAS SAMUDERA"
FSCU;780050;8;20;"PT. ZONA LINTAS SAMUDERA"
FUKU;296928;4;20;"PT. ZONA LINTAS SAMUDERA"
FUKU;366435;9;20;"PT. ZONA LINTAS SAMUDERA"
GAEU;750522;7;40;"PT. ZONA LINTAS SAMUDERA"
GATU;009644;4;20;"PT. ZONA LINTAS SAMUDERA"
GATU;077933;2;20;"PT. ZONA LINTAS SAMUDERA"
GATU;101986;4;20;"PT. ZONA LINTAS SAMUDERA"
GATU;105644;6;20;"PT. ZONA LINTAS SAMUDERA"
GATU;136174;8;20;"PT. ZONA LINTAS SAMUDERA"
GATU;850360;7;40;"PT. ZONA LINTAS SAMUDERA"
GATU;861562;8;40;"PT. ZONA LINTAS SAMUDERA"
GERU;303385;1;20;"PT. ZONA LINTAS SAMUDERA"
GESU;104197;1;20;"PT. ZONA LINTAS SAMUDERA"
GESU;105745;3;20;"PT. ZONA LINTAS SAMUDERA"
GESU;113633;6;20;"PT. ZONA LINTAS SAMUDERA"
GESU;114532;2;20;"PT. ZONA LINTAS SAMUDERA"
GESU;138673;6;20;"PT. ZONA LINTAS SAMUDERA"
GESU;141505;3;20;"PT. ZONA LINTAS SAMUDERA"
GESU;142610;3;20;"PT. ZONA LINTAS SAMUDERA"
GESU;142770;6;20;"PT. ZONA LINTAS SAMUDERA"
GESU;208038;1;20;"PT. ZONA LINTAS SAMUDERA"
GESU;246883;9;20;"PT. ZONA LINTAS SAMUDERA"
GESU;261510;1;20;"PT. ZONA LINTAS SAMUDERA"
GESU;262781;7;20;"PT. ZONA LINTAS SAMUDERA"
GESU;269160;5;20;"PT. ZONA LINTAS SAMUDERA"
GESU;275255;2;20;"PT. ZONA LINTAS SAMUDERA"
GESU;280968;4;20;"PT. ZONA LINTAS SAMUDERA"
GESU;283217;5;20;"PT. ZONA LINTAS SAMUDERA"
GESU;286125;5;20;"PT. ZONA LINTAS SAMUDERA"
GESU;289591;2;20;"PT. ZONA LINTAS SAMUDERA"
GESU;292028;1;20;"PT. ZONA LINTAS SAMUDERA"
GESU;293392;5;20;"PT. ZONA LINTAS SAMUDERA"
GESU;302562;4;20;"PT. ZONA LINTAS SAMUDERA"
GESU;303394;9;20;"PT. ZONA LINTAS SAMUDERA"
GESU;304226;2;20;"PT. ZONA LINTAS SAMUDERA"
GESU;306105;1;20;"PT. ZONA LINTAS SAMUDERA"
GESU;306133;9;20;"PT. ZONA LINTAS SAMUDERA"
GESU;331703;5;20;"PT. ZONA LINTAS SAMUDERA"
GESU;357725;9;20;"PT. ZONA LINTAS SAMUDERA"
GESU;360048;8;20;"PT. ZONA LINTAS SAMUDERA"
GESU;380911;7;20;"PT. ZONA LINTAS SAMUDERA"
GESU;388790;6;20;"PT. ZONA LINTAS SAMUDERA"
GESU;389713;9;20;"PT. ZONA LINTAS SAMUDERA"
GESU;425426;6;40;"PT. ZONA LINTAS SAMUDERA"
GESU;462251;6;40;"PT. ZONA LINTAS SAMUDERA"
GESU;468933;5;40;"PT. ZONA LINTAS SAMUDERA"
GESU;473583;1;40;"PT. ZONA LINTAS SAMUDERA"
GESU;483893;2;40;"PT. ZONA LINTAS SAMUDERA"
GESU;489681;5;40;"PT. ZONA LINTAS SAMUDERA"
GESU;511450;4;40;"PT. ZONA LINTAS SAMUDERA"
GLDU;210493;6;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;226273;6;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;301270;5;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;340882;5;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;382781;6;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;389154;3;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;564111;6;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;575843;7;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;725282;8;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;750387;8;40;"PT. ZONA LINTAS SAMUDERA"
GLDU;762005;1;40;"PT. ZONA LINTAS SAMUDERA"
GLDU;936873;5;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;956615;5;20;"PT. ZONA LINTAS SAMUDERA"
GLDU;970336;6;20;"PT. ZONA LINTAS SAMUDERA"
GSTU;511186;7;20;"PT. ZONA LINTAS SAMUDERA"
GSTU;516096;4;20;"PT. ZONA LINTAS SAMUDERA"
GSTU;590929;2;20;"PT. ZONA LINTAS SAMUDERA"
GVCU;219009;9;20;"PT. ZONA LINTAS SAMUDERA"
HALU;350931;1;20;"PT. ZONA LINTAS SAMUDERA"
HCIU;210449;6;20;"PT. ZONA LINTAS SAMUDERA"
HDMU;261996;9;20;"PT. ZONA LINTAS SAMUDERA"
HJCU;124783;1;40;"PT. ZONA LINTAS SAMUDERA"
HJMU;153190;9;40;"PT. ZONA LINTAS SAMUDERA"
HJMU;290715;9;20;"PT. ZONA LINTAS SAMUDERA"
HMCU;306203;2;20;"PT. ZONA LINTAS SAMUDERA"
IALU;220111;4;20;"PT. ZONA LINTAS SAMUDERA"
IIKU;296190;2;20;"PT. ZONA LINTAS SAMUDERA"
ILSU;201960;2;20;"PT. ZONA LINTAS SAMUDERA"
ILSU;202585;8;20;"PT. ZONA LINTAS SAMUDERA"
INBU;374778;7;20;"PT. ZONA LINTAS SAMUDERA"
INBU;389506;4;20;"PT. ZONA LINTAS SAMUDERA"
INKU;221455;4;40;"PT. ZONA LINTAS SAMUDERA"
INKU;253730;4;40;"PT. ZONA LINTAS SAMUDERA"
INKU;561639;3;40;"PT. ZONA LINTAS SAMUDERA"
INKU;637347;2;40;"PT. ZONA LINTAS SAMUDERA"
INKU;674429;8;40;"PT. ZONA LINTAS SAMUDERA"
INKU;709288;6;40;"PT. ZONA LINTAS SAMUDERA"
IPXU;216109;3;20;"PT. ZONA LINTAS SAMUDERA"
IPXU;308130;4;20;"PT. ZONA LINTAS SAMUDERA"
IPXU;321990;2;20;"PT. ZONA LINTAS SAMUDERA"
IPXU;369545;2;20;"PT. ZONA LINTAS SAMUDERA"
IRNU;361319;1;20;"PT. ZONA LINTAS SAMUDERA"
IRNU;363342;8;20;"PT. ZONA LINTAS SAMUDERA"
IRNU;366445;5;20;"PT. ZONA LINTAS SAMUDERA"
IRNU;368123;6;20;"PT. ZONA LINTAS SAMUDERA"
IRNU;369225;1;20;"PT. ZONA LINTAS SAMUDERA"
JAYU;109116;4;20;"PT. ZONA LINTAS SAMUDERA"
JHSU;259384;4;20;"PT. ZONA LINTAS SAMUDERA"
KCSU;216636;1;20;"PT. ZONA LINTAS SAMUDERA"
KDCU;216661;2;20;"PT. ZONA LINTAS SAMUDERA"
KDCU;217061;2;20;"PT. ZONA LINTAS SAMUDERA"
KDCU;217067;5;20;"PT. ZONA LINTAS SAMUDERA"
KDCU;217116;2;20;"PT. ZONA LINTAS SAMUDERA"
KDCU;217120;2;20;"PT. ZONA LINTAS SAMUDERA"
KDCU;217196;4;20;"PT. ZONA LINTAS SAMUDERA"
KDCU;217225;6;20;"PT. ZONA LINTAS SAMUDERA"
KKFU;712038;8;40;"PT. ZONA LINTAS SAMUDERA"
KKTU;752733;6;20;"PT. ZONA LINTAS SAMUDERA"
KMTU;723594;1;20;"PT. ZONA LINTAS SAMUDERA"
KMTU;735343;5;20;"PT. ZONA LINTAS SAMUDERA"
LTIU;239236;3;20;"PT. ZONA LINTAS SAMUDERA"
MAEU;681096;3;20;"PT. ZONA LINTAS SAMUDERA"
MAEU;695787;2;20;"PT. ZONA LINTAS SAMUDERA"
MAEU;698769;2;20;"PT. ZONA LINTAS SAMUDERA"
MEDU;824603;5;40;"PT. ZONA LINTAS SAMUDERA"
MEDU;826978;7;40;"PT. ZONA LINTAS SAMUDERA"
MEDU;838432;7;40;"PT. ZONA LINTAS SAMUDERA"
MLCU;246529;5;20;"PT. ZONA LINTAS SAMUDERA"
MLCU;340008;8;20;"PT. ZONA LINTAS SAMUDERA"
MOAU;583356;4;20;"PT. ZONA LINTAS SAMUDERA"
MOMU;220622;1;20;"PT. ZONA LINTAS SAMUDERA"
MOTU;074554;9;20;"PT. ZONA LINTAS SAMUDERA"
MOTU;074582;6;20;"PT. ZONA LINTAS SAMUDERA"
MSCU;321368;6;20;"PT. ZONA LINTAS SAMUDERA"
MSCU;323325;5;20;"PT. ZONA LINTAS SAMUDERA"
MSCU;380605;9;20;"PT. ZONA LINTAS SAMUDERA"
MSCU;690967;8;20;"PT. ZONA LINTAS SAMUDERA"
MSCU;879849;1;40;"PT. ZONA LINTAS SAMUDERA"
MSCU;990379;7;40;"PT. ZONA LINTAS SAMUDERA"
MSKU;201655;2;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;211073;8;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;214061;9;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;215823;8;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;219713;1;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;221530;1;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;221809;1;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;243911;1;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;246589;3;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;248412;6;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;253623;5;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;258279;7;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;265008;4;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;278309;2;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;286212;3;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;300123;8;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;301281;8;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;343891;1;20;"PT. ZONA LINTAS SAMUDERA"
MSKU;455544;5;40;"PT. ZONA LINTAS SAMUDERA"
NYKU;562023;5;40;"PT. ZONA LINTAS SAMUDERA"
NYKU;562205;3;40;"PT. ZONA LINTAS SAMUDERA"
NYKU;697377;2;40;"PT. ZONA LINTAS SAMUDERA"
OOLU;119216;3;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;121350;1;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;127835;4;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;131718;9;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;133473;5;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;134068;2;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;137533;3;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;140861;1;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;141230;8;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;144663;2;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;145327;2;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;148678;5;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;152986;6;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;153665;4;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;153943;7;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;157649;3;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;158518;1;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;161241;4;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;162995;2;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;169435;1;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;171102;1;20;"PT. ZONA LINTAS SAMUDERA"
OOLU;174067;3;20;"PT. ZONA LINTAS SAMUDERA"
PCIU;257382;4;20;"PT. ZONA LINTAS SAMUDERA"
PCIU;285467;3;20;"PT. ZONA LINTAS SAMUDERA"
PCIU;289848;1;20;"PT. ZONA LINTAS SAMUDERA"
PCIU;305634;3;20;"PT. ZONA LINTAS SAMUDERA"
PCIU;361923;6;20;"PT. ZONA LINTAS SAMUDERA"
PCIU;935876;3;20;"PT. ZONA LINTAS SAMUDERA"
PCIU;976581;3;40;"PT. ZONA LINTAS SAMUDERA"
PKEU;502823;2;40;"PT. ZONA LINTAS SAMUDERA"
PONU;011169;5;20;"PT. ZONA LINTAS SAMUDERA"
PONU;023176;7;20;"PT. ZONA LINTAS SAMUDERA"
PONU;029115;4;20;"PT. ZONA LINTAS SAMUDERA"
PONU;095517;1;20;"PT. ZONA LINTAS SAMUDERA"
PONU;722570;3;40;"PT. ZONA LINTAS SAMUDERA"
PRSU;216286;4;20;"PT. ZONA LINTAS SAMUDERA"
PRSU;960163;4;40;"PT. ZONA LINTAS SAMUDERA"
REGU;307785;3;20;"PT. ZONA LINTAS SAMUDERA"
REGU;504366;2;40;"PT. ZONA LINTAS SAMUDERA"
RPLU;200749;6;20;"PT. ZONA LINTAS SAMUDERA"
SCMU;208220;4;20;"PT. ZONA LINTAS SAMUDERA"
SCZU;824155;7;20;"PT. ZONA LINTAS SAMUDERA"
SEGU;100314;8;20;"PT. ZONA LINTAS SAMUDERA"
SEGU;102148;1;20;"PT. ZONA LINTAS SAMUDERA"
SEGU;102877;9;20;"PT. ZONA LINTAS SAMUDERA"
SEGU;141037;5;20;"PT. ZONA LINTAS SAMUDERA"
