vendor;nomor_kontainer;size;group;tanggal_awal;tanggal_akhir;periode;masa;tarif;dpp;dpp_nilai_lain;ppn;pph;grand_total;status;computed_periode
DPE;STXU2015218;20;TK125010000002;22/01/2025;26/05/2025;4;22 april 2025 - 21 mei 2025;Bulanan;750000;687500;82500;15000;817500;;5
DPE;STXU2015218;20;TK125010000002;22/01/2025;26/05/2025;5;22 mei 2025 - 26 mei 2025;Harian;125000;114583;13750;2500;136250;;5
DPE;CBHU5914130;20;TK125010000003;23/01/2025;26/05/2025;1;23 januari 2025 - 22 februari 2025;Bulanan;775000;710417;85250;15500;844750;;5
DPE;CBHU5914130;20;TK125010000003;23/01/2025;26/05/2025;2;23 februari 2025 - 22 maret 2025;Bulanan;700000;641667;77000;14000;763000;;5
DPE;CBHU5914130;20;TK125010000003;23/01/2025;26/05/2025;3;23 maret 2025 - 22 april 2025;Bulanan;775000;710417;85250;15500;844750;;5
DPE;CBHU5914130;20;TK125010000003;23/01/2025;26/05/2025;4;23 april 2025 - 22 mei 2025;Bulanan;750000;687500;82500;15000;817500;;5
DPE;CBHU5914130;20;TK125010000003;23/01/2025;26/05/2025;5;23 mei 2025 - 26 mei 2025;Harian;100000;91667;11000;2000;109000;;5
DPE;CSLU1004045;20;TK125010000003;23/01/2025;09/04/2025;1;23 januari 2025 - 22 februari 2025;Bulanan;775000;710417;85250;15500;844750;;3
DPE;CSLU1004045;20;TK125010000003;23/01/2025;09/04/2025;2;23 februari 2025 - 22 maret 2025;Bulanan;700000;641667;77000;14000;763000;;3
DPE;CSLU1004045;20;TK125010000003;23/01/2025;09/04/2025;3;23 maret 2025 - 9 april 2025;Harian;450000;412500;49500;9000;490500;;3
DPE;CBHU5911444;20;TK125010000004;24/01/2025;;1;24 januari 2025 - 23 februari 2025;Bulanan;775000;710417;85250;15500;844750;;8
DPE;CBHU5911444;20;TK125010000004;24/01/2025;;2;24 februari 2025 - 23 maret 2025;Bulanan;700000;641667;77000;14000;763000;;8
DPE;CBHU5911444;20;TK125010000004;24/01/2025;;3;24 maret 2025 - 23 april 2025;Bulanan;775000;710417;85250;15500;844750;;8
DPE;CBHU5911444;20;TK125010000004;24/01/2025;;4;24 april 2025 - 23 mei 2025;Bulanan;750000;687500;82500;15000;817500;;8
DPE;CBHU5911444;20;TK125010000004;24/01/2025;;5;24 mei 2025 - 23 juni 2025;Bulanan;775000;710417;85250;15500;844750;;8
DPE;CBHU5911444;20;TK125010000004;24/01/2025;;6;24 juni 2025 - 23 juli 2025;Bulanan;750000;687500;82500;15000;817500;;8
DPE;CBHU5911444;20;TK125010000004;24/01/2025;;7;24 juli 2025 - 23 agustus 2025;Bulanan;775000;710417;85250;15500;844750;;8
DPE;CBHU5911444;20;TK125010000004;24/01/2025;;8;24 agustus 2025 - 23 september 2025;Bulanan;775000;710417;85250;15500;844750;;8
