vendor,nomor_kontainer,size,tanggal_awal,tanggal_akhir,tarif,adjustment,periode,group,status
ZONA,GESU4896815,40,2024-07-16,2024-08-15,Bulanan,0,7,Z18,ongoing
ZONA,GESU4735831,40,2024-08-16,2024-09-15,Bulanan,0,8,Z18,ongoing
ZONA,GESU4896815,40,2024-08-16,2024-09-15,Bulanan,0,8,Z18,ongoing
ZONA,GESU4735831,40,2024-09-16,2024-10-15,Bulanan,0,9,Z18,ongoing
ZONA,GESU4896815,40,2024-09-16,2024-10-15,Bulanan,0,9,Z18,ongoing
ZONA,GESU4735831,40,2024-10-16,2024-11-15,Bulanan,0,10,Z18,ongoing
ZONA,GESU4896815,40,2024-10-16,2024-11-15,Bulanan,0,10,Z18,ongoing
ZONA,GESU4735831,40,2024-11-16,2024-12-03,Harian,0,11,Z18,ongoing
ZONA,GESU4896815,40,2024-11-16,2024-12-15,Bulanan,0,11,Z18,ongoing
ZONA,GESU4896815,40,2024-12-16,2024-12-20,Harian,0,12,Z18,ongoing
ZONA,YELU5789666,40,2024-01-18,2024-02-17,Bulanan,0,1,Z20,ongoing
ZONA,YELU5789666,40,2024-02-18,2024-03-17,Bulanan,0,2,Z20,ongoing
ZONA,YELU5789666,40,2024-03-18,2024-04-17,Bulanan,-378378,3,Z20,ongoing
ZONA,YELU5789666,40,2024-04-18,2024-05-17,Bulanan,0,4,Z20,ongoing
ZONA,YELU5789666,40,2024-05-18,2024-06-17,Bulanan,0,5,Z20,ongoing
ZONA,YELU5789666,40,2024-06-18,2024-07-17,Bulanan,0,6,Z20,ongoing
ZONA,YELU5789666,40,2024-07-18,2024-08-17,Bulanan,0,7,Z20,ongoing
ZONA,YELU5789666,40,2024-08-18,2024-09-17,Bulanan,0,8,Z20,ongoing
ZONA,YELU5789666,40,2024-09-18,2024-10-17,Bulanan,0,9,Z20,ongoing
ZONA,YELU5789666,40,2024-10-18,2024-11-17,Bulanan,0,10,Z20,ongoing
ZONA,YELU5789666,40,2024-11-18,2024-12-03,Harian,0,11,Z20,ongoing
ZONA,CCLU7032547,40,2024-03-08,2024-04-07,Bulanan,-378378,1,Z23,ongoing
ZONA,CMAU1034669,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,CPSU1828517,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,CRSU1468543,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,CRXU3112086,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,DFSU2061565,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,FCIU2541302,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,GESU1345130,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,GESU1426103,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,GESU5114504,40,2024-03-08,2024-04-07,Bulanan,-378378,1,Z23,ongoing
ZONA,TGHU2383781,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,CCLU7032547,40,2024-04-08,2024-04-24,Harian,0,2,Z23,ongoing
ZONA,CMAU1034669,20,2024-04-08,2024-05-07,Bulanan,0,2,Z23,ongoing
ZONA,CPSU1828517,20,2024-04-08,2024-05-07,Bulanan,0,2,Z23,ongoing
ZONA,CRSU1468543,20,2024-04-08,2024-05-07,Bulanan,0,2,Z23,ongoing
ZONA,CRXU3112086,20,2024-04-08,2024-04-20,Harian,0,2,Z23,ongoing
ZONA,DFSU2061565,20,2024-04-08,2024-05-07,Bulanan,0,2,Z23,ongoing
ZONA,FCIU2541302,20,2024-04-08,2024-05-07,Bulanan,0,2,Z23,ongoing
ZONA,GESU1345130,20,2024-04-08,2024-05-07,Bulanan,0,2,Z23,ongoing
ZONA,GESU1426103,20,2024-04-08,2024-05-07,Bulanan,0,2,Z23,ongoing
ZONA,GESU5114504,40,2024-04-08,2024-05-07,Bulanan,0,2,Z23,ongoing
ZONA,TGHU2383781,20,2024-04-08,2024-05-07,Bulanan,0,2,Z23,ongoing
ZONA,CMAU1034669,20,2024-05-08,2024-06-07,Bulanan,0,3,Z23,ongoing
ZONA,CPSU1828517,20,2024-05-08,2024-06-07,Bulanan,0,3,Z23,ongoing
ZONA,CRSU1468543,20,2024-05-08,2024-06-07,Bulanan,0,3,Z23,ongoing
ZONA,DFSU2061565,20,2024-05-08,2024-06-07,Bulanan,0,3,Z23,ongoing
ZONA,FCIU2541302,20,2024-05-08,2024-06-07,Bulanan,0,3,Z23,ongoing
ZONA,GESU1345130,20,2024-05-08,2024-06-07,Bulanan,0,3,Z23,ongoing
ZONA,GESU1426103,20,2024-05-08,2024-06-07,Bulanan,0,3,Z23,ongoing
ZONA,GESU5114504,40,2024-05-08,2024-06-07,Bulanan,0,3,Z23,ongoing
ZONA,TGHU2383781,20,2024-05-08,2024-06-07,Bulanan,0,3,Z23,ongoing
ZONA,CMAU1034669,20,2024-06-08,2024-07-07,Bulanan,0,4,Z23,ongoing
ZONA,CPSU1828517,20,2024-06-08,2024-07-07,Bulanan,0,4,Z23,ongoing
ZONA,CRSU1468543,20,2024-06-08,2024-07-07,Bulanan,0,4,Z23,ongoing
ZONA,DFSU2061565,20,2024-06-08,2024-07-07,Bulanan,0,4,Z23,ongoing
ZONA,FCIU2541302,20,2024-06-08,2024-07-07,Bulanan,0,4,Z23,ongoing
ZONA,GESU1345130,20,2024-06-08,2024-07-07,Bulanan,0,4,Z23,ongoing
ZONA,GESU1426103,20,2024-06-08,2024-07-02,Harian,0,4,Z23,ongoing
ZONA,GESU5114504,40,2024-06-08,2024-07-07,Bulanan,0,4,Z23,ongoing
ZONA,TGHU2383781,20,2024-06-08,2024-07-02,Harian,0,4,Z23,ongoing
ZONA,CMAU1034669,20,2024-07-08,2024-07-29,Harian,0,5,Z23,ongoing
ZONA,CPSU1828517,20,2024-07-08,2024-07-28,Harian,0,5,Z23,ongoing
ZONA,CRSU1468543,20,2024-07-08,2024-07-28,Harian,0,5,Z23,ongoing
ZONA,DFSU2061565,20,2024-07-08,2024-07-18,Harian,0,5,Z23,ongoing
ZONA,FCIU2541302,20,2024-07-08,2024-07-28,Harian,0,5,Z23,ongoing
ZONA,GESU1345130,20,2024-07-08,2024-07-08,Harian,0,5,Z23,ongoing
ZONA,GESU5114504,40,2024-07-08,2024-08-07,Bulanan,0,5,Z23,ongoing
ZONA,GESU5114504,40,2024-08-08,2024-09-07,Bulanan,0,6,Z23,ongoing
ZONA,GESU5114504,40,2024-09-08,2024-10-07,Bulanan,0,7,Z23,ongoing
