Awalan Kontainer;Nomor Seri;Akhiran;Ukuran;Vendor;Nomor Kontainer;
ZONA;695024;1;20;PT. ZONA LINTAS SAMUDERA;6950241;
ZONA;695150;7;20;PT. ZONA LINTAS SAMUDERA;6951507;
ZONA;695685;5;20;PT. ZONA LINTAS SAMUDERA;6956855;
ZONA;698779;3;20;PT. ZONA LINTAS SAMUDERA;6987793;
ZONA;765180;2;40;PT. ZONA LINTAS SAMUDERA;7651802;
ZONA;807039;9;40;PT. ZONA LINTAS SAMUDERA;8070399;
ZONA;807592;8;20;PT. ZONA LINTAS SAMUDERA;8075928;
ZONA;901762;1;20;PT. ZONA LINTAS SAMUDERA;9017621;
ZONA;910277;0;20;PT. ZONA LINTAS SAMUDERA;9102770;
ZWFU;100073;0;20;PT. ZONA LINTAS SAMUDERA;1000730;
CBHU;395269;7;20;PT. DEPO PETIKEMAS EXPRESSINDO;3952697;
CBHU;407776;4;20;PT. DEPO PETIKEMAS EXPRESSINDO;4077764;
CBHU;587632;2;20;PT. DEPO PETIKEMAS EXPRESSINDO;5876322;
CBHU;591144;4;20;PT. DEPO PETIKEMAS EXPRESSINDO;5911444;
CBHU;591413;0;20;PT. DEPO PETIKEMAS EXPRESSINDO;5914130;
CCLU;380650;0;20;PT. DEPO PETIKEMAS EXPRESSINDO;3806500;
CCLU;383662;9;20;PT. DEPO PETIKEMAS EXPRESSINDO;3836629;
CSLU;100404;5;20;PT. DEPO PETIKEMAS EXPRESSINDO;1004045;
CSLU;124777;0;20;PT. DEPO PETIKEMAS EXPRESSINDO;1247770;
CXDU;110808;0;20;PT. DEPO PETIKEMAS EXPRESSINDO;1108080;
DPEU;486976;9;20;PT. DEPO PETIKEMAS EXPRESSINDO;4869769;
RXTU;454018;0;40;PT. DEPO PETIKEMAS EXPRESSINDO;4540180;
STXU;201521;8;20;PT. DEPO PETIKEMAS EXPRESSINDO;2015218;
