Awalan Kontainer;Nomor Seri;Akhiran;Ukuran;Vendor;Nomor Kontainer;
CXDU;110892;1;20;PT. ZONA LINTAS SAMUDERA;1108921;
CXDU;121273;0;20;PT. ZONA LINTAS SAMUDERA;1212730;
CXDU;124442;4;20;PT. ZONA LINTAS SAMUDERA;1244424;
CXDU;127269;0;20;PT. ZONA LINTAS SAMUDERA;1272690;
CXDU;128574;2;20;PT. ZONA LINTAS SAMUDERA;1285742;
CXDU;143084;0;20;PT. ZONA LINTAS SAMUDERA;1430840;
CXDU;143670;4;20;PT. ZONA LINTAS SAMUDERA;1436704;
DAVU;908801;4;20;PT. ZONA LINTAS SAMUDERA;9088014;
DFSU;206156;5;20;PT. ZONA LINTAS SAMUDERA;2061565;
DFSU;229693;4;20;PT. ZONA LINTAS SAMUDERA;2296934;
DFSU;622595;0;40;PT. ZONA LINTAS SAMUDERA;6225950;
DNAU;262220;6;20;PT. ZONA LINTAS SAMUDERA;2622206;
DPEU;990004;4;20;PT. ZONA LINTAS SAMUDERA;9900044;
DPEU;990019;4;20;PT. ZONA LINTAS SAMUDERA;9900194;
DRYU;210680;1;20;PT. ZONA LINTAS SAMUDERA;2106801;
DRYU;221148;0;20;PT. ZONA LINTAS SAMUDERA;2211480;
DRYU;229098;2;20;PT. ZONA LINTAS SAMUDERA;2290982;
DRYU;229288;2;20;PT. ZONA LINTAS SAMUDERA;2292882;
DRYU;252455;0;20;PT. ZONA LINTAS SAMUDERA;2524550;
ECMU;181964;9;20;PT. ZONA LINTAS SAMUDERA;1819649;
EGHU;305849;9;20;PT. ZONA LINTAS SAMUDERA;3058499;
EGHU;900518;2;40;PT. ZONA LINTAS SAMUDERA;9005182;
EGSU;310994;3;20;PT. ZONA LINTAS SAMUDERA;3109943;
EISU;219451;7;20;PT. ZONA LINTAS SAMUDERA;2194517;
EISU;225461;6;20;PT. ZONA LINTAS SAMUDERA;2254616;
EISU;394470;3;20;PT. ZONA LINTAS SAMUDERA;3944703;
EISU;395403;9;20;PT. ZONA LINTAS SAMUDERA;3954039;
EISU;399404;7;20;PT. ZONA LINTAS SAMUDERA;3994047;
EISU;399921;8;20;PT. ZONA LINTAS SAMUDERA;3999218;
EISU;915384;4;40;PT. ZONA LINTAS SAMUDERA;9153844;
EMCU;391974;0;20;PT. ZONA LINTAS SAMUDERA;3919740;
EMCU;600682;6;20;PT. ZONA LINTAS SAMUDERA;6006826;
