Group;Kontainer;Awal;Akhir;Ukuran; Harga ;Periode;Status;Hari; DPP ;Keterangan; QTY Disc ; adjustment ; Pembulatan ; ppn ; pph ; grand_total ;No.InvoiceVendor;Tgl.InvVendor;No.Bank;Tgl.Bank;OK;Approval;x;Group;;;;;;;;x
Z16;VGCU2886097;14 Feb 24;13 Mar 24;40; 1.261.261 ;2;Bulanan;29; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.02.22623;19 Feb 24;EBK240500055;21 May 24;OK;;Up;Z16;;;;;;;;
Z16;EGHU9005182;13 Mar 24;12 Apr 24;40; 1.261.261 ;3;Bulanan;31; 1.261.261 ;; 9 ;-378.378 ;; 97.117 ; 17.658 ; 962.342 ;ZONA24.03.22929;03 May 24;EBK240500209;20 May 24;OK;;Up;Z16;;;;;;;;
Z16;NYKU5622053;13 Mar 24;12 Apr 24;40; 1.261.261 ;3;Bulanan;31; 1.261.261 ;; 9 ;-378.378 ;; 97.117 ; 17.658 ; 962.342 ;ZONA24.03.22929;03 May 24;EBK240500209;20 May 24;OK;;Up;Z16;;;;;;;;
Z16;MSCU9903797;14 Mar 24;13 Apr 24;40; 1.261.261 ;3;Bulanan;31; 1.261.261 ;; 9 ;-378.378 ;; 97.117 ; 17.658 ; 962.342 ;ZONA24.03.22929;03 May 24;EBK240500209;20 May 24;OK;;Up;Z16;;;;;;;;
Z16;VGCU2886097;14 Mar 24;13 Apr 24;40; 1.261.261 ;3;Bulanan;31; 1.261.261 ;; 9 ;-378.378 ;; 97.117 ; 17.658 ; 962.342 ;ZONA24.03.22929;03 May 24;EBK240500209;20 May 24;OK;;Up;Z16;;;;;;;;
Z16;EGHU9005182;13 Apr 24;12 May 24;40; 1.261.261 ;4;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.05.23406;03 May 24;;;OK;07 Oct 25;Up;Z16;;;;;;;;
Z16;NYKU5622053;13 Apr 24;24 Apr 24;40; 1.261.261 ;4;Harian;12; 504.504 ;;-1 ; 42.042 ;; 60.120 ; 10.931 ; 595.735 ;ZONA24.05.23406;03 May 24;;;OK;07 Oct 25;Up;Z16;;;;;;;;
Z16;MSCU9903797;14 Apr 24;25 Apr 24;40; 1.261.261 ;4;Harian;12; 504.504 ;;; -   ;; 55.495 ; 10.090 ; 549.909 ;ZONA24.05.23406;03 May 24;;;OK;07 Oct 25;Up;Z16;;;;;;;;
Z16;VGCU2886097;14 Apr 24;13 May 24;40; 1.261.261 ;4;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.05.23406;03 May 24;;;OK;07 Oct 25;Up;Z16;;;;;;;;
Z16;EGHU9005182;13 May 24;12 Jun 24;40; 1.261.261 ;5;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.08.24868;29 Aug 24;EBK250100275;30 Jan 25;OK;;Up;Z16;;;;;;;;
Z16;VGCU2886097;14 May 24;13 Jun 24;40; 1.261.261 ;5;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.08.24868;29 Aug 24;EBK250100275;30 Jan 25;OK;;Up;Z16;;;;;;;;
Z16;EGHU9005182;13 Jun 24;12 Jul 24;40; 1.261.261 ;6;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.08.24869;29 Aug 24;EBK250100275;30 Jan 25;OK;;Up;Z16;;;;;;;;
Z16;VGCU2886097;14 Jun 24;13 Jul 24;40; 1.261.261 ;6;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.08.24869;29 Aug 24;EBK250100275;30 Jan 25;OK;;Up;Z16;;;;;;;;
Z16;EGHU9005182;13 Jul 24;12 Aug 24;40; 1.261.261 ;7;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.08.24870;29 Aug 24;EBK250100275;30 Jan 25;OK;;Up;Z16;;;;;;;;
Z16;VGCU2886097;14 Jul 24;13 Aug 24;40; 1.261.261 ;7;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.08.24870;29 Aug 24;EBK250100275;30 Jan 25;OK;;Up;Z16;;;;;;;;
Z16;EGHU9005182;13 Aug 24;12 Sep 24;40; 1.261.261 ;8;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.08.24871;31 Dec 24;;;OK;07 Oct 25;Up;Z16;;;;;;;;
Z16;VGCU2886097;14 Aug 24;30 Aug 24;40; 1.261.261 ;8;Harian;17; 714.715 ;;; -   ;; 78.619 ; 14.294 ; 779.040 ;ZONA24.08.24871;31 Dec 24;;;OK;07 Oct 25;Up;Z16;;;;;;;;
Z16;EGHU9005182;13 Sep 24;12 Oct 24;40; 1.261.261 ;9;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.11.25959;31 Dec 24;;;OK;07 Oct 25;Up;Z16;;;;;;;;
Z16;EGHU9005182;13 Oct 24;12 Nov 24;40; 1.261.261 ;10;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.11.25960;31 Dec 24;;;OK;07 Oct 25;Up;Z16;;;;;;;;
Z16;EGHU9005182;13 Nov 24;06 Dec 24;40; 1.261.261 ;24;Harian;23; 966.967 ;;-1 ; 42.042 ;; 110.991 ; 20.180 ; 1.099.820 ;ZONA24.12.26546;31 Dec 24;;;OK;07 Oct 25;Up;Z16;;;;;;;;
Z17;AMFU8640522;15 Jan 24;14 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22360;18 Jan 24;EBK240500055;21 May 24;OK;;Up;Z17;;;;;;;;
Z17;EISU9153844;15 Jan 24;14 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22360;18 Jan 24;EBK240500055;21 May 24;OK;;Up;Z17;;;;;;;;
Z17;GESU4838932;15 Jan 24;14 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22360;18 Jan 24;EBK240500055;21 May 24;OK;;Up;Z17;;;;;;;;
Z17;REGU5043662;15 Jan 24;14 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22360;18 Jan 24;EBK240500055;21 May 24;OK;;Up;Z17;;;;;;;;
Z17;AMFU8640522;15 Feb 24;14 Mar 24;40; 1.261.261 ;2;Bulanan;29; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.02.22624;19 Feb 24;EBK240500055;21 May 24;OK;;Up;Z17;;;;;;;;
Z17;EISU9153844;15 Feb 24;14 Mar 24;40; 1.261.261 ;2;Bulanan;29; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.02.22624;19 Feb 24;EBK240500055;21 May 24;OK;;Up;Z17;;;;;;;;
Z17;GESU4838932;15 Feb 24;14 Mar 24;40; 1.261.261 ;2;Bulanan;29; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.02.22624;19 Feb 24;EBK240500055;21 May 24;OK;;Up;Z17;;;;;;;;
Z17;REGU5043662;15 Feb 24;14 Mar 24;40; 1.261.261 ;2;Bulanan;29; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.02.22624;19 Feb 24;EBK240500055;21 May 24;OK;;Up;Z17;;;;;;;;
Z17;AMFU8640522;15 Mar 24;14 Apr 24;40; 1.261.261 ;3;Bulanan;31; 1.261.261 ;; 9 ;-378.378 ;; 97.117 ; 17.658 ; 962.342 ;ZONA24.03.22928;03 May 24;EBK240500209;20 May 24;OK;;Up;Z17;;;;;;;;
