"Awalan Kontainer (4 karakter)";"Nomor Seri Kontainer (6 digit)";"Akhiran Kontainer (1 digit)";"Nomor Seri Gabungan (11 karakter)";Ukuran;"Tipe Kontainer";Status;"Tahun Pembuatan";Keterangan
AYPU;046296;5;AYPU0462965;20;"Dry Container";available;;
AYPX;241554;2;AYPX2415542;20;"Dry Container";available;;
AYPU;209281;3;AYPU2092813;20;"Dry Container";available;2013;"TUKER TAMBAH  "
AYPU;213221;7;AYPU2132217;20;"Dry Container";available;2013;"TUKER TAMBAH  "
AYPU;316731;0;AYPU3167310;20;"Dry Container";available;;
AYPX;318949;3;AYPX3189493;20;"Dry Container";available;;
AYPU;348064;4;AYPU3480644;20;"Dry Container";available;;"EX AYPX"
AYPU;305314;9;AYPU3053149;20;"Dry Container";available;2013;"TUKER TAMBAH  "
AYPU;297669;8;AYPU2976698;20;"Dry Container";available;;
PCU4;605;5;PCU4605;10;"Dry Container";available;;
PCU4;606;6;PCU4606;10;"Dry Container";available;;
AYPU;280817;9;AYPU2808179;20;"Dry Container";available;;
AYPU;122118;0;AYPU1221180;20;"Dry Container";available;;
AYPU;100977;7;AYPU1009777;20;"Dry Container";available;;
AYPU;325046;0;AYPU3250460;40;"Dry Container";available;;
AYPU;325047;5;AYPU3250475;40;"Dry Container";available;;
AYPU;760003;6;AYPU7600036;20;"Dry Container";available;2010;
AYPU;788311;0;AYPU7883110;20;"Dry Container";available;2010;
AYPU;792892;0;AYPU7928920;20;"Dry Container";available;2010;
AYPU;791043;2;AYPU7910432;20;"Dry Container";available;2010;
AYPU;790755;2;AYPU7907552;20;"Dry Container";available;2010;
AYPU;790828;7;AYPU7908287;20;"Dry Container";available;2010;
AYPU;793652;4;AYPU7936524;20;"Dry Container";available;2010;
AYPU;791507;5;AYPU7915075;20;"Dry Container";available;2010;
AYPU;793545;1;AYPU7935451;20;"Dry Container";available;2010;
AYPU;788679;0;AYPU7886790;20;"Dry Container";available;2010;
AYPU;023748;3;AYPU0237483;20;"Dry Container";available;2010;
AYPU;023632;1;AYPU0236321;20;"Dry Container";available;2010;
AYPU;026071;3;AYPU0260713;20;"Dry Container";available;2010;
AYPU;023524;3;AYPU0235243;20;"Dry Container";available;2010;
AYPU;026400;4;AYPU0264004;20;"Dry Container";available;2010;
AYPU;024150;2;AYPU0241502;20;"Dry Container";available;2010;
AYPU;023484;3;AYPU0234843;20;"Dry Container";available;2010;
AYPU;023412;3;AYPU0234123;20;"Dry Container";available;2010;
AYPU;020713;3;AYPU0207133;20;"Dry Container";available;2010;
AYPU;024770;6;AYPU0247706;20;"Dry Container";available;2010;
AYPU;285411;8;AYPU2854118;20;"Dry Container";available;2010;
AYPU;283013;7;AYPU2830137;20;"Dry Container";available;2010;
AYPU;293094;3;AYPU2930943;20;"Dry Container";available;2010;
AYPU;021682;9;AYPU0216829;20;"Dry Container";available;2010;
AYPU;290036;3;AYPU2900363;20;"Dry Container";available;2010;
AYPU;024302;2;AYPU0243022;20;"Dry Container";available;2010;
AYPU;020320;4;AYPU0203204;20;"Dry Container";available;2010;
AYPU;282921;8;AYPU2829218;20;"Dry Container";available;2010;
AYPU;025119;9;AYPU0251199;20;"Dry Container";available;2010;
AYPU;283797;5;AYPU2837975;20;"Dry Container";available;2010;
AYPU;025458;3;AYPU0254583;20;"Dry Container";available;;
AYPU;020591;1;AYPU0205911;20;"Dry Container";available;;
AYPU;309081;5;AYPU3090815;20;"Dry Container";available;;
AYPU;307783;4;AYPU3077834;20;"Dry Container";available;;
AYPU;605060;2;AYPU6050602;20;"Dry Container";available;;
AYPU;602016;7;AYPU6020167;20;"Dry Container";available;;
AYPU;605243;6;AYPU6052436;20;"Dry Container";available;;
AYPU;900222;7;AYPU9002227;40;"Dry Container";available;;
AYPU;068979;7;AYPU0689797;40;"Dry Container";available;;
AYPU;597904;0;AYPU5979040;40;"Dry Container";available;;
AYPU;591587;0;AYPU5915870;40;"Dry Container";available;;
AYPU;309545;8;AYPU3095458;20;"Dry Container";available;;"TUKER TAMBAH"
AYPU;251847;0;AYPU2518470;20;"Dry Container";available;;"BSIU2518470 SUDAH AYPU2518470"
AYPU;390350;6;AYPU3903506;20;"Dry Container";available;;"EMCU3903506 SUDAH AYPU3903506"
AYPU;788972;0;AYPU7889720;20;"Dry Container";available;;"KKTU7889720 SUDAH AYPU7889720"
AYPU;332084;2;AYPU3320842;20;"Dry Container";available;;"TCKU3320842 SUDAH AYPU3320842"
AYPU;309695;4;AYPU3096954;20;"Dry Container";available;;EGSU3096954
AYPU;220936;6;AYPU2209366;20;"Dry Container";available;;EISU2209366
AYPU;392670;7;AYPU3926707;20;"Dry Container";available;;EMCU3926707
AYPU;201738;4;AYPU2017384;20;"Dry Container";available;;EISU2017384
AYPU;210657;9;AYPU2106579;20;"Dry Container";available;;EISU2106579
AYPU;310033;4;AYPU3100334;20;"Dry Container";available;;EGSU3100334
AYPU;203033;9;AYPU2030339;20;"Dry Container";available;;EISU2030339
AYPU;204084;6;AYPU2040846;20;"Dry Container";available;;EISU2040846
AYPU;219916;5;AYPU2199165;20;"Dry Container";available;;
AYPU;306693;2;AYPU3066932;20;"Dry Container";available;;
AYPU;225653;7;AYPU2256537;20;"Dry Container";available;;
AYPU;226496;0;AYPU2264960;20;"Dry Container";available;;
AYPU;955753;3;AYPU9557533;20;"Dry Container";available;;"TUKER TAMBAH AYPU3596866"
AYPU;950371;1;AYPU9503711;20;"Dry Container";available;;"TUKER TAMBAH AYPU2044458"
AYPU;955498;2;AYPU9554982;20;"Dry Container";available;;"TUKER TAMBAH AYPU3524117"
AYPU;951451;0;AYPU9514510;20;"Dry Container";available;;"TUKER TAMBAH AYPU2485338"
AYPU;362460;8;AYPU3624608;20;"Dry Container";available;;"TUKER TAMBAH AYPU2099510"
AYPU;966217;0;AYPU9662170;20;"Dry Container";available;;"TUKER TAMBAH AYPU7499070"
AYPU;940917;7;AYPU9409177;20;"Dry Container";available;;"TUKER TAMBAH AYPU2455015"
AYPU;939707;6;AYPU9397076;20;"Dry Container";available;;"TUKER TAMBAH AYPU2754359"
AYPU;955768;3;AYPU9557683;20;"Dry Container";available;;"TUKER TAMBAH AYPU0312199"
AYPU;953279;3;AYPU9532793;20;"Dry Container";available;;"TUKER TAMBAH AYPX4548280"
AYPU;940821;0;AYPU9408210;20;"Dry Container";available;;"TUKER TAMBAH AYPX2221070"
AYPU;284022;0;AYPU2840220;20;"Dry Container";available;;"BELI "
AYPU;285013;0;AYPU2850130;20;"Dry Container";available;;"BELI "
AYPU;284047;5;AYPU2840475;20;"Dry Container";available;;"BELI "
AYPU;952415;0;AYPU9524150;20;"Dry Container";available;;"TUKER TAMBAH AYPU2272734"
AYPU;033269;1;AYPU0332691;20;"Dry Container";available;;"TUKER TAMBAH AYPU3435496"
AYPU;962739;5;AYPU9627395;20;"Dry Container";available;;"BELI "
AYPU;971212;0;AYPU9712120;20;"Dry Container";available;;"BELI "
AYPU;965989;6;AYPU9659896;20;"Dry Container";available;;"BELI "
AYPU;955949;6;AYPU9559496;20;"Dry Container";available;;"BELI "
AYPU;255318;9;AYPU2553189;20;"Dry Container";available;;"BELI "
AYPU;023040;5;AYPU0230405;20;"Dry Container";available;;"TUKER TAMBAH AYPU3319077"
AYPU;033496;6;AYPU0334966;20;"Dry Container";available;;"BELI "
AYPU;940667;1;AYPU9406671;20;"Dry Container";available;;"BELI "
AYPU;211630;0;AYPU2116300;20;"Dry Container";available;;"BELI "
AYPU;237501;3;AYPU2375013;20;"Dry Container";available;;"BELI "
AYPU;622117;7;AYPU6221177;40;"Dry Container";available;;"BELI GFC"
AYPU;666097;1;AYPU6660971;40;"Dry Container";available;;"BELI GFC"
AYPU;652406;5;AYPU6524065;40;"Dry Container";available;;"BELI GFC"
AYPU;683531;8;AYPU6835318;40;"Dry Container";available;;"BELI GFC"
AYPU;697348;8;AYPU6973488;40;"Dry Container";available;;"BELI GFC"
AYPU;623287;0;AYPU6232870;40;"Dry Container";available;;"BELI GFC"
AYPU;682828;4;AYPU6828284;40;"Dry Container";available;;"BELI GFC"
AYPU;653739;7;AYPU6537397;40;"Dry Container";available;;"BELI GFC"
AYPU;654015;3;AYPU6540153;40;"Dry Container";available;;"BELI GFC"
AYPU;650935;3;AYPU6509353;40;"Dry Container";available;;"BELI GFC"
AYPU;306914;1;AYPU3069141;20;"Dry Container";available;;"TUKER TAMBAH (AYPU3453859)"
AYPU;395397;6;AYPU3953976;20;"Dry Container";available;;"TUKER TAMBAH (AYPU2476574)"
AYPU;302883;6;AYPU3028836;20;"Dry Container";available;;"TUKER TAMBAH (AYPU3252019)"
AYPU;226340;7;AYPU2263407;20;"Dry Container";available;;"TUKER TAMBAH (AYPU2409719)"
AYPU;227883;0;AYPU2278830;20;"Dry Container";available;;"TUKER TAMBAH (AYPU2256312)"
AYPU;975896;5;AYPU9758965;20;"Dry Container";available;;"TUKER TAMBAH (AYPU8943488)"
AYPU;033363;5;AYPU0333635;20;"Dry Container";available;;"BELI DEPO SBM"
AYPU;028143;9;AYPU0281439;20;"Dry Container";available;;"BELI DEPO SBM"
AYPU;035527;5;AYPU0355275;20;"Dry Container";available;;"BELI DEPO SBM"
AYPU;046643;2;AYPU0466432;20;"Dry Container";available;;"BELI DEPO SBM"
AYPU;029069;9;AYPU0290699;20;"Dry Container";available;;"BELI DEPO SBM"
AYPU;038459;2;AYPU0384592;20;"Dry Container";available;;"BELI DEPO SBM"
AYPU;033405;6;AYPU0334056;20;"Dry Container";available;;"BELI DEPO SBM"
AYPU;053408;0;AYPU0534080;20;"Dry Container";available;;"BELI DEPO SBM"
WHLU;052401;4;WHLU0524014;20;"Dry Container";available;;"BELI DEPO SBM"
WHLU;053151;7;WHLU0531517;20;"Dry Container";available;;"BELI DEPO SBM"
