"Awalan Kontainer (4 karakter)";"Nomor Seri Kontainer (6 digit)";"Akhiran Kontainer (1 digit)";"Nomor Seri Gabungan (11 karakter)";Ukuran;"Tipe Kontainer";Status;"Tahun Pembuatan";Keterangan
AYPU;233397;4;AYPU2333974;20;"Dry Container";available;;
AYPU;233520;0;AYPU2335200;20;"Dry Container";available;;
AYPU;233549;4;AYPU2335494;20;"Dry Container";available;;
AYPU;233642;2;AYPU2336422;20;"Dry Container";available;;
AYPU;233714;1;AYPU2337141;20;"Dry Container";available;;
AYPU;233725;0;AYPU2337250;20;"Dry Container";available;;
AYPU;233841;0;AYPU2338410;20;"Dry Container";available;;
AYPU;233930;8;AYPU2339308;20;"Dry Container";available;;
AYPU;234416;3;AYPU2344163;20;"Dry Container";available;;
AYPU;234470;5;AYPU2344705;20;"Dry Container";available;;
AYPU;234481;0;AYPU2344810;20;"Dry Container";available;;
AYPU;234615;9;AYPU2346159;20;"Dry Container";available;;
AYPU;235008;2;AYPU2350082;20;"Dry Container";available;;
AYPU;235102;8;AYPU2351028;20;"Dry Container";available;;
AYPU;235111;3;AYPU2351113;20;"Dry Container";available;;
AYPU;235704;5;AYPU2357045;20;"Dry Container";available;;
AYPU;235800;0;AYPU2358000;20;"Dry Container";available;;
AYPU;236310;9;AYPU2363109;20;"Dry Container";available;;
AYPU;236886;4;AYPU2368864;20;"Dry Container";available;;
AYPU;237387;3;AYPU2373873;20;"Dry Container";available;;
AYPU;237734;1;AYPU2377341;20;"Dry Container";available;;
AYPU;238379;8;AYPU2383798;20;"Dry Container";available;;
AYPU;238607;1;AYPU2386071;20;"Dry Container";available;;
AYPU;238626;1;AYPU2386261;20;"Dry Container";available;;
AYPU;239421;0;AYPU2394210;20;"Dry Container";available;;
AYPU;239511;3;AYPU2395113;20;"Dry Container";available;;
AYPU;240108;7;AYPU2401087;20;"Dry Container";available;;
AYPU;240126;1;AYPU2401261;20;"Dry Container";available;;
AYPU;240183;1;AYPU2401831;20;"Dry Container";available;;
AYPU;240228;9;AYPU2402289;20;"Dry Container";available;;
AYPU;240236;2;AYPU2402362;20;"Dry Container";available;;
AYPU;240241;8;AYPU2402418;20;"Dry Container";available;;
AYPU;240335;1;AYPU2403351;20;"Dry Container";available;;
AYPU;240336;7;AYPU2403367;20;"Dry Container";available;;
AYPU;240346;0;AYPU2403460;20;"Dry Container";available;;
AYPU;240379;4;AYPU2403794;20;"Dry Container";available;;
AYPU;240384;0;AYPU2403840;20;"Dry Container";available;;
AYPU;240440;3;AYPU2404403;20;"Dry Container";available;;
AYPU;240461;4;AYPU2404614;20;"Dry Container";available;;
AYPU;240558;6;AYPU2405586;20;"Dry Container";available;;
AYPU;240571;2;AYPU2405712;20;"Dry Container";available;;
AYPU;240739;9;AYPU2407399;20;"Dry Container";available;;
AYPU;240752;6;AYPU2407526;20;"Dry Container";available;;
AYPU;240861;0;AYPU2408610;20;"Dry Container";available;;
AYPU;240878;0;AYPU2408780;20;"Dry Container";available;;
AYPU;240975;0;AYPU2409750;20;"Dry Container";available;;
AYPU;241012;5;AYPU2410125;20;"Dry Container";available;;
AYPU;241037;5;AYPU2410375;20;"Dry Container";available;;
AYPU;241104;3;AYPU2411043;20;"Dry Container";available;;
AYPU;241246;1;AYPU2412461;20;"Dry Container";available;;
AYPU;241263;0;AYPU2412630;20;"Dry Container";available;;
AYPU;241506;0;AYPU2415060;20;"Dry Container";available;;
AYPU;241543;4;AYPU2415434;20;"Dry Container";available;;
AYPU;241565;0;AYPU2415650;20;"Dry Container";available;;
AYPU;241603;0;AYPU2416030;20;"Dry Container";available;;
AYPU;241635;9;AYPU2416359;20;"Dry Container";available;;
AYPU;241835;1;AYPU2418351;20;"Dry Container";available;;
AYPU;241850;0;AYPU2418500;20;"Dry Container";available;;
AYPU;241868;6;AYPU2418686;20;"Dry Container";available;;
AYPU;241870;5;AYPU2418705;20;"Dry Container";available;;
AYPU;241897;9;AYPU2418979;20;"Dry Container";available;;
AYPU;241919;4;AYPU2419194;20;"Dry Container";available;;
AYPU;241923;4;AYPU2419234;20;"Dry Container";available;;
AYPU;241928;0;AYPU2419280;20;"Dry Container";available;;
AYPU;241991;2;AYPU2419912;20;"Dry Container";available;;
AYPU;242008;7;AYPU2420087;20;"Dry Container";available;;
AYPU;242432;8;AYPU2424328;20;"Dry Container";available;;
AYPU;242465;2;AYPU2424652;20;"Dry Container";available;;
AYPU;242520;0;AYPU2425200;20;"Dry Container";available;;
AYPU;242534;5;AYPU2425345;20;"Dry Container";available;;
AYPU;242577;2;AYPU2425772;20;"Dry Container";available;;
AYPU;242677;9;AYPU2426779;20;"Dry Container";available;;
AYPU;243108;1;AYPU2431081;20;"Dry Container";available;;
AYPU;243163;0;AYPU2431630;20;"Dry Container";available;;
AYPU;243450;7;AYPU2434507;20;"Dry Container";available;;
AYPU;243565;7;AYPU2435657;20;"Dry Container";available;;
AYPU;243632;9;AYPU2436329;20;"Dry Container";available;;
AYPU;243753;6;AYPU2437536;20;"Dry Container";available;;
AYPU;243821;3;AYPU2438213;20;"Dry Container";available;;
AYPU;243838;4;AYPU2438384;20;"Dry Container";available;;
AYPU;243842;4;AYPU2438424;20;"Dry Container";available;;
AYPU;244025;0;AYPU2440250;20;"Dry Container";available;;
AYPU;244090;4;AYPU2440904;20;"Dry Container";available;;
AYPU;244151;5;AYPU2441515;20;"Dry Container";available;;
AYPU;244168;6;AYPU2441686;20;"Dry Container";available;;
AYPU;244226;0;AYPU2442260;20;"Dry Container";available;;
AYPU;244244;5;AYPU2442445;20;"Dry Container";available;;
AYPU;244289;3;AYPU2442893;20;"Dry Container";available;;
AYPU;244297;5;AYPU2442975;20;"Dry Container";available;;
AYPU;244377;6;AYPU2443776;20;"Dry Container";available;;
AYPU;244472;5;AYPU2444725;20;"Dry Container";available;;
AYPU;244772;3;AYPU2447723;20;"Dry Container";available;;
AYPU;245237;4;AYPU2452374;20;"Dry Container";available;;
AYPU;245388;2;AYPU2453882;20;"Dry Container";available;;
AYPU;245490;8;AYPU2454908;20;"Dry Container";available;;
AYPU;245899;0;AYPU2458990;20;"Dry Container";available;;
AYPU;246112;6;AYPU2461126;20;"Dry Container";available;;
AYPU;246250;0;AYPU2462500;20;"Dry Container";available;;
AYPU;246802;8;AYPU2468028;20;"Dry Container";available;;
AYPU;246906;6;AYPU2469066;20;"Dry Container";available;;
AYPU;247189;1;AYPU2471891;20;"Dry Container";available;;
AYPU;247333;9;AYPU2473339;20;"Dry Container";available;;
AYPU;247419;1;AYPU2474191;20;"Dry Container";available;;
AYPU;247469;5;AYPU2474695;20;"Dry Container";available;;
AYPU;247549;7;AYPU2475497;20;"Dry Container";available;;
AYPU;247564;4;AYPU2475644;20;"Dry Container";available;;
AYPU;247659;4;AYPU2476594;20;"Dry Container";available;;
AYPU;247878;8;AYPU2478788;20;"Dry Container";available;;
AYPU;247975;6;AYPU2479756;20;"Dry Container";available;;
AYPU;248455;7;AYPU2484557;20;"Dry Container";available;;
AYPU;248662;9;AYPU2486629;20;"Dry Container";available;;
AYPU;248814;8;AYPU2488148;20;"Dry Container";available;;
AYPU;248817;3;AYPU2488173;20;"Dry Container";available;;
AYPU;248956;6;AYPU2489566;20;"Dry Container";available;;
AYPU;249130;5;AYPU2491305;20;"Dry Container";available;;
AYPU;249324;7;AYPU2493247;20;"Dry Container";available;;
AYPU;249327;3;AYPU2493273;20;"Dry Container";available;;
AYPU;249671;3;AYPU2496713;20;"Dry Container";available;;
AYPU;249976;0;AYPU2499760;20;"Dry Container";available;;
AYPU;249986;2;AYPU2499862;20;"Dry Container";available;;
AYPU;250617;5;AYPU2506175;20;"Dry Container";available;;
AYPU;250684;8;AYPU2506848;20;"Dry Container";available;;
AYPU;251183;9;AYPU2511839;20;"Dry Container";available;;
AYPU;251273;0;AYPU2512730;20;"Dry Container";available;;
AYPU;251286;4;AYPU2512864;20;"Dry Container";available;;
AYPU;251346;7;AYPU2513467;20;"Dry Container";available;;
AYPU;251366;0;AYPU2513660;20;"Dry Container";available;;
AYPU;251581;6;AYPU2515816;20;"Dry Container";available;;
AYPU;251658;0;AYPU2516580;20;"Dry Container";available;;
AYPU;251754;4;AYPU2517544;20;"Dry Container";available;;
AYPU;251757;0;AYPU2517570;20;"Dry Container";available;;
AYPU;251778;1;AYPU2517781;20;"Dry Container";available;;
AYPU;251783;5;AYPU2517835;20;"Dry Container";available;;
AYPU;252062;2;AYPU2520622;20;"Dry Container";available;;
AYPU;252228;4;AYPU2522284;20;"Dry Container";available;;
AYPU;252408;1;AYPU2524081;20;"Dry Container";available;;
AYPU;252418;2;AYPU2524182;20;"Dry Container";available;;
AYPU;252423;0;AYPU2524230;20;"Dry Container";available;;
AYPU;252453;8;AYPU2524538;20;"Dry Container";available;;
AYPU;252548;9;AYPU2525489;20;"Dry Container";available;;
AYPU;252710;0;AYPU2527100;20;"Dry Container";available;;
AYPU;252717;8;AYPU2527178;20;"Dry Container";available;;
AYPU;252780;9;AYPU2527809;20;"Dry Container";available;;
AYPU;252793;8;AYPU2527938;20;"Dry Container";available;;
AYPU;252836;4;AYPU2528364;20;"Dry Container";available;;
AYPU;252940;7;AYPU2529407;20;"Dry Container";available;;
AYPU;253053;0;AYPU2530530;20;"Dry Container";available;;
AYPU;253095;9;AYPU2530959;20;"Dry Container";available;;
AYPU;253173;5;AYPU2531735;20;"Dry Container";available;;
AYPU;253233;9;AYPU2532339;20;"Dry Container";available;;
AYPU;256509;6;AYPU2565096;20;"Dry Container";available;;
AYPU;256513;6;AYPU2565136;20;"Dry Container";available;;
AYPU;256725;0;AYPU2567250;20;"Dry Container";available;;
AYPU;257031;7;AYPU2570317;20;"Dry Container";available;;
AYPU;257041;8;AYPU2570418;20;"Dry Container";available;;
AYPU;257242;9;AYPU2572429;20;"Dry Container";available;;
AYPU;257578;9;AYPU2575789;20;"Dry Container";available;;
AYPU;257626;6;AYPU2576266;20;"Dry Container";available;;
AYPU;257729;2;AYPU2577292;20;"Dry Container";available;;
AYPU;257735;3;AYPU2577353;20;"Dry Container";available;;
AYPU;258140;7;AYPU2581407;20;"Dry Container";available;;
AYPU;258347;9;AYPU2583479;20;"Dry Container";available;;
AYPU;258380;0;AYPU2583800;20;"Dry Container";available;;
AYPU;258513;2;AYPU2585132;20;"Dry Container";available;;
AYPU;258514;8;AYPU2585148;20;"Dry Container";available;;
AYPU;258518;0;AYPU2585180;20;"Dry Container";available;;
AYPU;258537;0;AYPU2585370;20;"Dry Container";available;;
AYPU;258619;1;AYPU2586191;20;"Dry Container";available;;
AYPU;258647;9;AYPU2586479;20;"Dry Container";available;;
AYPU;258880;2;AYPU2588802;20;"Dry Container";available;;
AYPU;258924;4;AYPU2589244;20;"Dry Container";available;;
AYPU;258947;8;AYPU2589478;20;"Dry Container";available;;
AYPU;259174;6;AYPU2591746;20;"Dry Container";available;;
AYPU;259191;6;AYPU2591916;20;"Dry Container";available;;
AYPU;259210;5;AYPU2592105;20;"Dry Container";available;;
AYPU;259233;8;AYPU2592338;20;"Dry Container";available;;
AYPU;259289;3;AYPU2592893;20;"Dry Container";available;;
AYPU;259418;1;AYPU2594181;20;"Dry Container";available;;
AYPU;259529;2;AYPU2595292;20;"Dry Container";available;;
AYPU;259586;6;AYPU2595866;20;"Dry Container";available;;
AYPU;259812;5;AYPU2598125;20;"Dry Container";available;;
