"vendor";"nomor_kontainer";"size";"group";"tanggal_awal";"tanggal_akhir";"periode";"masa";"tarif";"dpp";"dpp_nilai_lain";"ppn";"pph";"grand_total";"status";"computed_periode"
"DPE";"CBHU5911444";"20";"D004";"2025-01-24";"";"8";"24 agustus 2025 - 23 september 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"8"
"DPE";"CBHU3952697";"20";"D004";"2025-01-24";"2025-04-09";"1";"24 januari 2025 - 23 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"3"
"DPE";"CBHU3952697";"20";"D004";"2025-01-24";"2025-04-09";"2";"24 februari 2025 - 23 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"3"
"DPE";"CBHU3952697";"20";"D004";"2025-01-24";"2025-04-09";"3";"24 maret 2025 - 9 april 2025";"Harian";"425000.00";"389583.33";"46750.00";"8500.00";"463250.00";"";"3"
"DPE";"CSLU1247770";"20";"D004";"2025-01-24";"2025-06-23";"1";"24 januari 2025 - 23 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"5"
"DPE";"CSLU1247770";"20";"D004";"2025-01-24";"2025-06-23";"2";"24 februari 2025 - 23 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"5"
"DPE";"CSLU1247770";"20";"D004";"2025-01-24";"2025-06-23";"3";"24 maret 2025 - 23 april 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"5"
"DPE";"CSLU1247770";"20";"D004";"2025-01-24";"2025-06-23";"4";"24 april 2025 - 23 mei 2025";"Bulanan";"750000.00";"687500.00";"82500.00";"15000.00";"817500.00";"";"5"
"DPE";"CSLU1247770";"20";"D004";"2025-01-24";"2025-06-23";"5";"24 mei 2025 - 23 juni 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"5"
"DPE";"CXDU1108080";"20";"D004";"2025-01-24";"2025-04-10";"1";"24 januari 2025 - 23 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"3"
"DPE";"CXDU1108080";"20";"D004";"2025-01-24";"2025-04-10";"2";"24 februari 2025 - 23 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"3"
"DPE";"CXDU1108080";"20";"D004";"2025-01-24";"2025-04-10";"3";"24 maret 2025 - 10 april 2025";"Harian";"450000.00";"412500.00";"49500.00";"9000.00";"490500.00";"";"3"
"DPE";"RXTU4540180";"40";"D005";"2025-03-04";"";"1";"4 maret 2025 - 3 april 2025";"Bulanan";"1500000.00";"1375000.00";"165000.00";"30000.00";"1635000.00";"";"6"
"DPE";"RXTU4540180";"40";"D005";"2025-03-04";"";"2";"4 april 2025 - 3 mei 2025";"Bulanan";"1500000.00";"1375000.00";"165000.00";"30000.00";"1635000.00";"";"6"
"DPE";"RXTU4540180";"40";"D005";"2025-03-04";"";"3";"4 mei 2025 - 3 juni 2025";"Bulanan";"1500000.00";"1375000.00";"165000.00";"30000.00";"1635000.00";"";"6"
